RADIO,PERSONAS,decil_NSE
020042403,1220,1
020042404,1929,1
020042405,1350,1
020042406,1417,1
020042501,2357,1
020042502,2215,1
020042503,3945,1
020042504,2028,1
020042601,1008,1
020042602,1228,1
020042603,1219,1
020050101,553,8
020050102,879,8
020050103,775,5
020050104,683,8
020050105,1103,7
020050106,498,5
020050107,625,7
020050108,742,7
020050109,691,6
020050110,673,6
020050201,875,8
020050202,616,8
020050203,723,9
020050204,941,9
020050205,568,9
020050206,610,4
020050207,572,2
020050208,1067,9
020050209,837,4
020050210,675,3
020050211,841,7
020050301,757,4
020050302,1145,6
020050303,369,1
020050304,582,6
020050305,727,7
020050306,669,5
020050307,563,5
020050308,357,7
020050309,610,5
020050310,535,6
020050311,839,5
020050401,1030,5
020050402,726,8
020050403,703,7
020050404,699,7
020050405,723,6
020050406,1027,9
020050407,553,5
020050408,1094,5
020050409,778,5
020050501,784,8
020050502,1353,7
020050503,743,6
020050504,727,8
020050505,593,9
020050506,716,8
020050507,890,6
020050508,710,8
020050601,740,9
020050602,991,8
020050603,877,6
020050604,1481,7
020050605,1134,7
020050606,907,5
020050607,894,7
020050608,922,8
020050701,1206,7
020050702,538,6
020050703,640,5
020050704,1364,6
020050705,1295,4
020050706,627,5
020050707,894,7
020050708,909,5
020050801,1171,7
020050802,703,5
020050803,1180,8
020050804,990,6
020050805,401,8
020050806,896,6
020050807,855,8
020050808,834,6
020050809,767,8
020050901,1082,7
020050902,601,8
020050903,575,7
020050904,526,6
020050905,576,6
020050906,572,6
020050907,485,7
020050908,941,6
020050909,924,6
020050910,806,5
020051001,1160,7
020051002,1082,7
020051003,416,3
020051004,557,6
020051005,749,5
020051006,791,3
020051007,1225,5
020051008,660,5
020051009,785,6
020051010,540,8
020051101,1144,8
020051102,894,8
020051103,694,9
020051104,682,7
020051105,764,5
020051106,747,8
020051107,1059,7
020051108,791,6
020051109,1026,6
020051110,855,6
020051201,606,4
020051202,1821,7
020051203,949,9
020051204,735,6
020051205,435,7
020051206,1575,8
020051207,897,6
020051301,856,7
020051302,710,8
020051303,759,6
020051304,731,5
020051305,795,5
020051306,850,9
020051307,739,8
020051308,940,8
020051309,1022,9
020051401,659,8
020051402,672,6
020051403,1153,4
020051404,931,8
020051405,1592,6
020051406,1229,6
020051407,454,4
020051408,650,7
020051409,907,5
020051501,1104,6
020051502,1099,6
020051503,586,3
020051504,1186,6
020051505,922,7
020051506,863,7
020051507,723,5
020051508,775,2
020051509,406,2
020051601,833,7
020051602,628,2
020051603,632,4
020051604,1025,3
020051605,846,6
020051606,715,3
020051607,604,3
020051608,1030,4
020051609,918,3
020051610,923,2
020051611,1063,4
020051701,706,5
020051702,815,4
020051703,754,7
020051704,842,5
020051705,747,7
020051706,775,6
020051707,906,7
020051708,938,5
020051709,558,4
020051710,757,4
020051711,879,8
020051801,943,8
020051802,900,5
020051803,852,5
020051804,788,4
020051805,828,4
020051806,684,5
020051807,724,9
020051808,408,4
020051809,689,3
020051810,818,4
020051811,718,6
020051901,856,4
020051902,692,5
020051903,929,4
020051904,994,5
020051905,768,3
020051906,808,3
020051907,446,5
020051908,922,4
020051909,605,5
020051910,798,4
020051911,1046,6
020052001,764,4
020052002,930,4
020052003,1065,2
020052004,804,4
020052005,901,4
020052006,846,3
020052007,912,2
020052008,907,3
020052009,861,2
020052010,962,3
020052011,830,3
020052012,905,3
020052101,860,6
020052102,857,3
020052103,531,5
020052104,914,3
020052105,640,4
020052106,717,5
020052107,719,3
020052108,728,4
020052109,726,2
020052110,599,3
020052111,694,4
020052201,738,5
020052202,827,3
020052203,629,5
020052204,936,5
020052205,801,4
020052206,938,5
020052207,1596,3
020052208,713,3
020052209,901,2
020052210,858,2
020052211,894,3
020052212,909,4
020052213,678,3
020060101,677,6
020060102,824,4
020060103,888,6
020060104,698,3
020060105,1124,6
020060106,938,7
020060107,692,6
020060108,871,4
020060109,715,2
020060110,620,4
020060111,675,7
020060112,622,4
020060201,1081,8
020060202,899,6
020060203,591,6
020060204,667,7
020060205,634,7
020060206,905,6
020060207,737,6
020060208,1089,8
020060209,660,8
020060210,917,7
020060211,1327,9
020060301,962,5
020060302,874,7
020060303,909,7
020060304,635,8
020060305,720,4
020060306,880,6
020060307,876,6
020060308,732,7
020060309,1142,8
020060310,864,7
020060401,554,6
020060402,658,7
020060403,831,7
020060404,773,7
020060405,731,9
020060406,774,6
020060407,673,7
020060408,883,7
020060409,1080,5
020060410,804,8
020060411,762,9
020060501,741,6
020060502,1015,8
020060503,774,6
020060504,637,7
020060505,939,7
020060506,689,6
020060507,749,8
020060508,466,9
020060509,569,7
020060510,978,6
020060511,936,9
020060512,369,7
020060601,1118,8
020060602,1836,10
020060603,1107,6
020060604,482,5
020060605,677,8
020060606,786,8
020060607,741,7
020060608,1009,6
020060609,761,8
020060701,593,8
020060702,803,7
020060703,954,8
020060704,869,7
020060705,784,7
020060706,682,7
020060707,1151,7
020060708,740,7
020060709,769,10
020060710,778,9
020060711,613,7
020060712,652,9
020060713,491,9
020060801,832,8
020060802,1023,9
020060803,640,9
020060804,626,8
020060805,511,8
020060806,1320,8
020060807,664,6
020060808,1333,9
020060809,511,7
020060810,677,7
020060901,600,5
020060902,598,8
020060903,653,7
020060904,1012,8
020060905,438,5
020060906,864,7
020060907,540,7
020060908,401,8
020060909,838,8
020060910,735,7
020061001,604,6
020061002,564,3
020061003,791,8
020061004,712,5
020061005,959,7
020061006,956,7
020061007,592,8
020061008,1243,7
020061009,501,7
020061010,943,7
020061101,1053,7
020061102,550,8
020061103,876,8
020061104,782,10
020061105,581,6
020061106,727,6
020061107,755,6
020061108,779,8
020061109,723,6
020061110,536,7
020061201,522,7
020061202,556,6
020061203,629,6
020061204,360,6
020061205,841,7
020061206,571,7
020061207,685,8
020061208,741,9
020061209,773,6
020061210,536,9
020061211,814,6
020061212,519,7
020061301,689,9
020061302,1302,8
020061303,764,7
020061304,1240,9
020061305,873,8
020061306,535,7
020061307,862,8
020061308,1221,9
020061309,896,8
020061401,896,9
020061402,625,9
020061403,850,6
020061404,1059,7
020061405,1031,9
020061406,1161,9
020061407,539,9
020061408,540,9
020061409,794,9
020061410,912,8
020061501,671,8
020061502,1667,8
020061503,816,9
020061504,682,9
020061505,760,8
020061506,803,10
020061507,859,8
020061508,959,7
020061509,517,8
020061510,716,10
020061601,672,7
020061602,678,9
020061603,945,9
020061604,696,8
020061605,976,8
020061606,979,9
020061607,1040,9
020061608,1406,9
020061609,1087,7
020061610,1155,8
020061611,886,6
020061701,838,8
020061702,899,7
020061703,708,6
020061704,747,9
020061705,1730,6
020061706,1047,7
020061707,606,8
020061801,623,8
020061802,611,7
020061803,648,8
020061804,722,9
020061805,812,8
020061806,1083,9
020061807,1153,7
020061808,1071,8
020061809,819,7
020061901,887,8
020061902,1468,9
020061903,1420,8
020061904,1010,7
020061905,748,5
020061906,1017,8
020061907,966,7
020061908,907,8
020062001,491,8
020062002,558,8
020062003,970,8
020062004,532,8
020062005,836,8
020062006,824,9
020062007,603,9
020062008,1194,8
020062009,770,8
020062010,864,7
020062101,620,7
020062102,992,7
020062103,1027,8
020062104,614,6
020062105,784,9
020062106,523,8
020062107,963,6
020062108,1223,8
020062109,740,8
020062110,825,5
020062111,1008,7
020070101,601,2
020070102,891,2
020070103,878,3
020070104,738,2
020070105,450,2
020070106,749,1
020070107,487,2
020070108,721,2
020070109,680,1
020070110,1125,4
020070201,828,6
020070202,989,3
020070203,824,3
020070204,1777,3
020070205,985,3
020070206,1100,3
020070207,724,3
020070208,712,2
020070209,998,5
020070301,689,5
020070302,953,6
020070303,1134,5
020070304,1174,5
020070305,787,7
020070306,924,4
020070307,1170,7
020070308,736,5
020070309,711,4
020070310,1062,6
020070401,1069,3
020070402,770,5
020070403,1012,8
020070404,1302,8
020070405,833,5
020070406,1174,9
020070407,1191,6
020070408,951,8
020070409,612,7
020070410,928,9
020070501,746,7
020070502,648,8
020070503,866,5
020070504,1024,6
020070505,1129,9
020070506,640,6
020070507,660,6
020070508,740,3
020070509,1098,3
020070601,927,6
020070602,801,5
020070603,631,3
020070604,834,2
020070605,899,2
020070606,908,5
020070607,869,7
020070608,439,4
020070609,687,5
020070701,641,4
020070702,586,2
020070703,958,5
020070704,639,2
020070705,637,2
020070706,959,5
020070707,665,5
020070708,506,4
020070709,936,3
020070710,789,8
020070711,613,5
020070801,682,2
020070802,879,6
020070803,583,4
020070804,821,7
020070805,1040,5
020070806,896,4
020070807,678,5
020070808,818,3
020070901,667,8
020070902,625,5
020070903,543,4
020070904,826,5
020070905,494,8
020070906,893,6
020070907,753,5
020070908,972,4
020070909,685,4
020070910,692,5
020070911,577,3
020071001,733,6
020071002,380,5
020071003,588,6
020071004,690,5
020071005,640,8
020071006,760,6
020071007,710,6
020071008,1072,7
020071009,682,5
020071010,932,7
020071101,855,3
020071102,863,6
020071103,850,5
020071104,939,8
020071105,548,9
020071106,801,7
020071107,1123,6
020071108,1005,6
020071109,987,8
020071110,645,8
020071201,1020,6
020071202,578,5
020071203,772,5
020071204,797,8
020071205,740,6
020071206,755,5
020071207,612,4
020071208,595,2
020071209,823,3
020071301,721,4
020071302,713,6
020071303,1000,8
020071304,562,7
020071305,819,7
020071306,744,9
020071307,549,6
020071308,560,3
020071309,493,4
020071310,497,7
020071311,750,7
020071312,692,5
020071313,565,6
020071314,709,5
020071315,503,6
020071401,833,4
020071402,817,3
020071403,725,3
020071404,696,4
020071405,929,2
020071406,1125,5
020071407,939,4
020071408,936,4
020071409,856,3
020071410,766,6
020071411,922,4
020071412,924,3
020071413,747,2
020071501,688,1
020071502,1067,1
020071503,960,4
020071504,655,3
020071505,705,4
020071506,1110,1
020071507,714,1
020071508,797,2
020071509,1218,1
020071510,1023,1
020071511,1148,1
020071601,722,3
020071602,796,3
020071603,815,4
020071604,726,4
020071605,795,3
020071606,1007,3
020071607,947,2
020071608,1106,2
020071609,1057,2
020071701,1605,1
020071702,1587,1
020071703,1374,1
020071704,1645,1
020071705,891,1
020071706,1313,1
020071707,2416,1
020071708,1103,1
020071709,1846,1
020071710,1507,1
020071711,560,1
020071801,1545,1
020071802,487,1
020071803,942,1
020071804,813,1
020071805,1003,1
020071806,1674,1
020071807,1216,1
020071808,1010,1
020071809,1203,1
020071810,1493,1
020071811,1325,1
020071901,878,1
020071902,1659,1
020071903,1339,1
020071904,1553,1
020071905,1407,1
020071906,1927,1
020072001,1021,5
020072002,552,6
020072003,722,5
020072004,541,1
020072005,806,3
020072006,815,3
020072007,816,2
020072008,1189,2
020072009,909,2
020072010,1327,1
020072011,1089,1
020072012,659,2
020072013,1617,2
020072101,1138,7
020072102,1121,8
020072103,959,6
020072104,565,8
020072105,686,8
020072106,927,8
020072107,722,5
020072108,432,6
020072109,709,7
020072110,911,6
020072111,811,6
020072112,917,6
020072201,634,6
020072202,923,7
020072203,874,6
020072204,932,9
020072205,1000,7
020072206,903,6
020072207,561,6
020072208,569,8
020072209,606,8
020072210,778,5
020072211,753,7
020072212,582,3
020072213,753,7
020072301,822,6
020072302,984,8
020072303,728,8
020072304,633,7
020072305,735,7
020072306,760,4
020072307,821,6
020072308,814,4
020072309,735,5
020072401,894,5
020072402,913,2
